question_word,correct_answer,model_guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,stipulations,correct
haphazardly,randomly,linearly,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,tiny,guess
urgently,desperately,tentatively,guess
consumed,eaten,eaten,correct
advent,coming,arrest,guess
concisely,succinctly,positively,guess
salutes,greetings,privileges,guess
solitary,alone,alert,wrong
hasten,accelerate,permit,guess
perseverance,endurance,endurance,correct
fanciful,imaginative,familiar,wrong
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,complicated,wrong
recognized,acknowledged,welcomed,wrong
spot,location,location,correct
make,earn,earn,correct
often,frequently,chemically,guess
easygoing,relaxed,relaxed,correct
debate,argument,competition,guess
narrow,thin,thin,correct
arranged,planned,explained,wrong
infinite,limitless,structural,guess
showy,striking,entertaining,wrong
levied,imposed,believed,guess
deftly,skillfully,occasionally,wrong
distribute,circulate,commercialize,guess
discrepancies,differences,differences,correct
prolific,productive,serious,guess
unmatched,unequaled,emulated,guess
peculiarly,uniquely,patriotically,guess
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,restore,guess
hastily,hurriedly,shrewdly,guess
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,overtly,guess
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,rotating,guess
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,proposed,wrong
tasks,jobs,jobs,correct
unlikely,improbable,unpopular,guess
halfheartedly,apathetically,unconventionally,guess
annals,chronicles,trails,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,remembered,wrong
command,mastery,observation,wrong
concocted,devised,requested,wrong
prospective,potential,prominent,wrong
generally,broadly,descriptively,guess
sustained,prolonged,refined,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,photograph,wrong
primarily,chiefly,cautiously,wrong
colloquial,conversational,incorrect,guess
resolved,settled,examined,wrong
feasible,possible,permitted,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,sample,guess
terminated,ended,posed,wrong
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,fathom,wrong
marketed,sold,diluted,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,haltingly,guess
