question_word,correct_answer,model_guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,randomly,correct
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,outset,guess
flawed,imperfect,tiny,guess
urgently,desperately,typically,wrong
consumed,eaten,bred,wrong
advent,coming,stability,guess
concisely,succinctly,powerfully,guess
salutes,greetings,ceremonies,guess
solitary,alone,alert,wrong
hasten,accelerate,permit,guess
perseverance,endurance,skill,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,successful,wrong
spot,location,location,correct
make,earn,print,wrong
often,frequently,hardly,wrong
easygoing,relaxed,boring,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,unusual,wrong
showy,striking,striking,correct
levied,imposed,requested,guess
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,weights,guess
prolific,productive,promising,guess
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,rear,correct
highlight,accentuate,restore,guess
hastily,hurriedly,shrewdly,guess
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,fittingly,guess
physician,doctor,nurse,wrong
essentially,basically,eagerly,wrong
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,financed,guess
tasks,jobs,jobs,correct
unlikely,improbable,improbable,correct
halfheartedly,apathetically,customarily,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,remembered,wrong
command,mastery,awareness,guess
concocted,devised,requested,wrong
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,analyzed,guess
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,isolate,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,misunderstood,guess
resolved,settled,publicized,guess
feasible,possible,possible,correct
expeditiously,rapidly,rapidly,correct
percentage,proportion,proportion,correct
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,fathom,wrong
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,periodically,guess
